,cluster_id,1,2,3,4,5,6,7,8,9,10
0,2,24,48,84,94,58,19,1,0,0,0
1,1,116,167,83,17,6,5,0,0,0,0
2,5,290,89,5,1,0,0,0,0,0,0
3,6,549,4,0,0,0,0,0,0,0,0
4,7,139,0,0,0,0,0,0,0,0,0
5,4,13,82,1,0,0,0,0,0,0,0
6,3,27,0,0,0,0,0,0,0,0,0
